,title,price,location,sales
122,苹果 iPhone XS Max,2099.0,广东 深圳,1489人收货
123,Huawei,1199.0,安徽 合肥,1488人收货
124,vivo U3x,799.0,江苏 南京,1477人收货
125,苹果 iPhone 8 Plus,2100.0,广东 深圳,1474人收货
126,苹果 iPhone 11 Pro,9999.0,江苏 南京,1470人收货
127,诺基亚,158.0,广东 深圳,1450人收货
128,华为nova 5i ,1999.0,广东 深圳,1445人收货
129,苹果 iPhone 8 64G ,3488.0,江苏 南京,1428人收货
130,飞利浦E109C,79.0,广东 深圳,1419人收货
131,Huawei,1099.0,广东 深圳,1403人收货
132,苹果iPhone11ProMax,4699.0,广东 深圳,1395人收货
133,vivo iQOO Pro,2898.0,广东 东莞,1387人收货
134,华为,1599.0,广东 深圳,1352人收货
135,Huawei,3199.0,江苏 南京,1347人收货
136,索爱Z6,229.0,广东 深圳,1336人收货
137,Huawei,3388.0,江苏 南京,1335人收货
138,华为honor,899.0,江苏 南京,1318人收货
139,华为 Mate30 ,4999.0,江苏 南京,1301人收货
140,天语 R7C,98.0,广西 桂林,1284人收货
141,华为,899.0,广东 深圳,1283人收货
142,Huawei,799.0,广东 深圳,1276人收货
143,Nokia,50.0,广东 深圳,1273人收货
144,苹果 iPhone 11 ,5999.0,江苏 南京,1271人收货
145,Huawei,779.0,安徽 合肥,1265人收货
146,华为HONOR,1099.0,江苏 南京,1264人收货
147,华为nova5,1378.0,广东 深圳,1259人收货
148,朵唯D520,118.0,广东 深圳,1253人收货
149,红米note8pro6400,1299.0,北京,1252人收货
150,纽曼 L99S 4G,69.0,广东 深圳,1252人收货
151,华为honor,958.0,河南 郑州,1249人收货
153,纽曼S9,158.0,广东 深圳,1246人收货
155,华为mate30 5g ,3288.0,北京,1233人收货
156,苹果 iPhone XR iphonexr ,2780.0,江苏 南京,1232人收货
157,OPPO K3 ,1399.0,江苏 南京,1231人收货
158,纽曼 F6,109.0,广东 深圳,1218人收货
159,Xiaomi,2539.0,广东 深圳,1205人收货
161,纽曼U8,69.0,广东 深圳,1199人收货
162,苹果 iPhone XR ,1800.0,广东 深圳,1195人收货
163,华为mate305G,3288.0,广东 深圳,1190人收货
164,OPPO Reno2,2999.0,广东 东莞,1180人收货
165,苹果 iPhone 8 Plus,1620.0,上海,1171人收货
166,苹果 iPhone 8 Plus ,1399.0,广东 深圳,1161人收货
168,Xiaomi,2299.0,广东 深圳,1156人收货
169,苹果 iPhone XR,3500.0,广东 深圳,1154人收货
170,苹果 iPhone 8 Plus ,2200.0,广东 深圳,1153人收货
171,vivo Z5,1398.0,江苏 南京,1150人收货
172,vivo X27,2498.0,上海,1126人收货
173,Huawei,1299.0,广东 深圳,1117人收货
174,苹果 iPhone X ,2730.0,广东 深圳,1116人收货
175,苹果 iPhone 11 ,5088.0,山东 济南,1111人收货
176,Xiaomi,948.0,广东 深圳,1111人收货
